epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.78787,1.07482,3.82559,1.15907,0.00713,0.85965,0.3873,0.28465,0.93116,3.42698,0.88055,0.0001429,0.0001429,0.0001429
2,15.1281,1.03983,3.23347,1.16533,0.00662,0.87719,0.53901,0.39479,0.91163,3.3702,0.86693,0.000297119,0.000297119,0.000297119
3,22.3629,1.00899,2.58129,1.12289,0.00712,0.82456,0.54153,0.35607,0.93793,3.29704,0.91983,0.000448226,0.000448226,0.000448226
4,29.555,1.0899,2.27434,1.1449,0.00503,0.77193,0.38682,0.26592,1.08957,3.37134,1.06887,0.00059622,0.00059622,0.00059622
5,36.6865,1.16511,2.09297,1.20044,0.74933,0.59076,0.61321,0.40445,1.06036,3.0858,1.11136,0.000741102,0.000741102,0.000741102
6,43.8411,1.16035,2.16347,1.204,0.00481,0.7193,0.57492,0.35443,1.1191,3.05614,1.13501,0.000882872,0.000882872,0.000882872
7,50.9479,1.11221,2.04036,1.20159,0.91199,0.23568,0.58539,0.38763,1.12625,2.82036,1.14814,0.00102153,0.00102153,0.00102153
8,58.0636,1.05334,1.9522,1.17254,0.59874,0.56665,0.74977,0.48251,1.21935,2.36975,1.42272,0.00115707,0.00115707,0.00115707
9,65.1603,1.09038,1.87272,1.18794,0.67191,0.61734,0.77897,0.48381,1.15777,2.45287,1.40374,0.00128951,0.00128951,0.00128951
10,72.2692,1.08002,1.89671,1.17456,0.55683,0.72721,0.75179,0.48226,1.23311,2.54506,1.28035,0.00130168,0.00130168,0.00130168
11,79.3391,1.09669,1.99404,1.17664,0.5434,0.7529,0.71042,0.46976,1.17541,2.57216,1.26167,0.00128753,0.00128753,0.00128753
12,86.3515,1.18019,1.91664,1.23655,0.74705,0.36997,0.732,0.48149,1.07313,3.1901,1.14107,0.00127338,0.00127338,0.00127338
13,93.4102,1.11281,1.70292,1.21711,0.574,0.66809,0.67641,0.45799,1.12262,3.84716,1.20257,0.00125923,0.00125923,0.00125923
14,100.495,1.07766,1.62631,1.19409,0.74092,0.72458,0.62545,0.40531,1.15946,2.16016,1.22538,0.00124509,0.00124509,0.00124509
15,107.584,1.07757,1.62021,1.19353,0.65502,0.61163,0.68373,0.50653,1.09076,1.74919,1.12757,0.00123094,0.00123094,0.00123094
16,114.674,1.06422,1.69901,1.17142,0.82444,0.78787,0.82585,0.58585,1.08202,1.60146,1.15428,0.00121679,0.00121679,0.00121679
17,121.761,1.07304,1.64054,1.19527,0.65418,0.81662,0.83376,0.56693,1.14462,1.50553,1.18859,0.00120265,0.00120265,0.00120265
18,128.812,1.07894,1.58961,1.20631,0.82178,0.66119,0.80261,0.54591,1.14884,1.6298,1.15941,0.0011885,0.0011885,0.0011885
19,135.878,1.07104,1.55153,1.15502,0.70625,0.85263,0.86614,0.58658,1.08578,2.552,1.10793,0.00117435,0.00117435,0.00117435
20,142.965,1.04802,1.35039,1.14561,0.74652,0.91591,0.88103,0.58371,1.09099,1.64649,1.16128,0.00116021,0.00116021,0.00116021
21,150.023,1.00851,1.38145,1.12377,0.90397,0.91993,0.91301,0.59449,1.09889,1.21951,1.19152,0.00114606,0.00114606,0.00114606
22,157.167,0.95001,1.37117,1.09495,0.88249,0.91481,0.92996,0.67566,0.96161,1.10592,1.03763,0.00113191,0.00113191,0.00113191
23,164.32,1.10349,1.42173,1.21,0.85654,0.85805,0.91445,0.67788,0.98793,1.21918,1.03638,0.00111776,0.00111776,0.00111776
24,171.426,1.07881,1.32082,1.17173,0.7522,0.92699,0.87923,0.5867,1.07182,1.30372,1.1358,0.00110362,0.00110362,0.00110362
25,178.508,1.01136,1.23611,1.16032,0.82095,0.93087,0.90372,0.61552,1.07219,1.1692,1.17768,0.00108947,0.00108947,0.00108947
26,185.624,1.05678,1.34988,1.17861,0.81046,0.89085,0.86212,0.55683,1.23213,1.2436,1.24789,0.00107532,0.00107532,0.00107532
27,192.734,1.00355,1.25459,1.13338,0.83094,0.79935,0.81991,0.5612,1.11408,1.12169,1.16391,0.00106118,0.00106118,0.00106118
28,199.823,0.98203,1.15863,1.15051,0.80913,0.83275,0.87342,0.66412,0.96811,1.0087,1.03168,0.00104703,0.00104703,0.00104703
29,206.89,0.99192,1.22606,1.14075,0.89359,0.86225,0.9229,0.68583,0.97629,0.94074,1.04158,0.00103288,0.00103288,0.00103288
30,214.015,0.95583,1.23369,1.12159,0.79244,0.80421,0.8626,0.63699,0.92444,0.96445,1.02826,0.00101873,0.00101873,0.00101873
31,221.134,0.9389,1.14532,1.09972,0.68166,0.80485,0.82128,0.55236,1.11558,1.07536,1.15313,0.00100459,0.00100459,0.00100459
32,228.233,0.97376,1.21091,1.15075,0.82937,0.88565,0.90009,0.65136,0.94873,0.94068,1.01056,0.00099044,0.00099044,0.00099044
33,235.313,0.93013,1.05507,1.09248,0.83192,0.86415,0.86189,0.6667,0.94755,0.95,1.06321,0.000976293,0.000976293,0.000976293
34,242.402,0.92457,1.08416,1.0912,0.77409,0.80234,0.8998,0.67091,0.9198,1.0652,1.11629,0.000962146,0.000962146,0.000962146
35,249.483,0.91901,1.13621,1.06832,0.74917,0.88308,0.92021,0.68285,0.95746,1.04307,1.09173,0.000947999,0.000947999,0.000947999
36,256.537,0.90632,1.04995,1.12963,0.8232,0.88797,0.9359,0.69739,0.95476,0.87986,1.09651,0.000933851,0.000933851,0.000933851
37,263.658,0.93129,0.99665,1.10228,0.80612,0.92644,0.95491,0.72213,0.92677,0.89172,1.03222,0.000919704,0.000919704,0.000919704
38,270.766,0.94023,1.01967,1.11913,0.78505,0.91075,0.94292,0.70532,0.88731,0.87736,1.04319,0.000905557,0.000905557,0.000905557
39,277.843,0.93017,1.04277,1.13806,0.86812,0.88622,0.91858,0.69571,0.93341,0.84834,1.04667,0.00089141,0.00089141,0.00089141
40,284.902,0.86716,0.94796,1.06089,0.81784,0.99269,0.94252,0.66813,0.92463,0.82783,1.03825,0.000877263,0.000877263,0.000877263
41,291.946,0.95481,1.00486,1.15098,0.89213,0.91705,0.95277,0.70022,0.91138,0.77362,1.0228,0.000863116,0.000863116,0.000863116
